id,nom_electeur,prenom_electeur,dateNaissance,lieuNaissance,numCIN,adresse,profession,email,image,numTel,id_fokontany
1,Aina,Safidiko,1949-09-17,Antsiranana,101245876130,Toliara,agent de développement des énergies renouvelables,aina.safidiko56@gmail.com,,0339652814,1
2,Ainga,Safidy,1971-12-28,Morondava,101245876131,Antananarivo,courtier,ainga.safidy227@gmail.com,,0343821117,60
3,Aintsoa,Sahala,1964-12-08,Antananarivo,101245876132,Manakara,chauffeur de taxi,aintsoa.sahala735@gmail.com,,0335513618,44
4,Alidera,Sahaza,1948-07-05,Ambositra,101245876133,Farafangana,technicien d'essais,alidera.sahaza991@gmail.com,,0348445484,45
5,Alindranto,Sahitia,1946-05-23,Antsiranana,101245876134,Antsiranana,responsable achats en chimie,alindranto.sahitia241@gmail.com,,0325299737,40
6,Aliotsy,Sahitsy,1991-12-25,Antsirabe,101245876135,Ambositra,agent de transit,aliotsy.sahitsy458@gmail.com,,0337213812,47
7,Alisoa,Sahoby,1938-08-13,Antalaha,101245876136,Antsiranana,batelier,alisoa.sahoby423@gmail.com,,0332551318,35
8,Ambinina,Saholy,1964-04-25,Antsiranana,101245876137,Nosy Be,contremaître,ambinina.saholy440@gmail.com,,0344358245,24
9,Ambinintsoa,Sahondra,2003-05-04,Ambositra,101245876138,Ambositra,responsable de plate-forme biotechnologique,ambinintsoa.sahondra412@gmail.com,,0325028962,37
10,Amboara,Salahy,1938-03-04,Ambositra,101245876139,Antananarivo,plombier,amboara.salahy343@gmail.com,,0346413312,5
11,Ampinga,Salala,1961-08-15,Fianarantsoa,101245876140,Morondava,trader,ampinga.salala907@gmail.com,,0321686934,21
12,Andiana,Salohy,1991-08-28,Ambohimahasoa,101245876141,Mahajanga,conservateur territorial de bibliothèques,andiana.salohy711@gmail.com,,0339172306,17
13,Andimalala,Sambatra,1995-09-12,Ambositra,101245876142,Toliara,reporter-photographe,andimalala.sambatra204@gmail.com,,0321691044,36
14,Ando,Sambany,1972-06-02,Morondava,101245876143,Morondava,acheteur,ando.sambany934@gmail.com,,0328375469,36
15,Andoniaina,Sanda,1956-04-15,Manakara,101245876144,Mahajanga,technicien forestier forestière,andoniaina.sanda603@gmail.com,,0324291700,32
16,Andotiana,Sandratra,1992-01-29,Antsiranana,101245876145,Antananarivo,géochimiste,andotiana.sandratra374@gmail.com,,0344361969,44
17,Andraina,Sandy,1972-05-18,Mahajanga,101245876146,Antalaha,chef de projet multimédia,andraina.sandy259@gmail.com,,0346832502,51
18,Andriaina,Sanjy,1963-11-12,Ambohimahasoa,101245876147,Nosy Be,guide de haute montagne,andriaina.sanjy530@gmail.com,,0329009454,14
19,Andrianina,Santatra,1948-06-20,Manakara,101245876148,Antananarivo,barman,andrianina.santatra315@gmail.com,,0326944886,12
20,Andrianivo,Santiona,1986-04-08,Antananarivo,101245876149,Fianarantsoa,biologiste en environnement,andrianivo.santiona535@gmail.com,,0338157428,2
21,Andrianjaka,Saotra,1983-06-01,Mahajanga,101245876150,Manakara,géologue modélisateur,andrianjaka.saotra170@gmail.com,,0337635799,48
22,Andriantafika,Saovololona,1970-07-24,Ambositra,101245876151,Mahajanga,anatomiste,andriantafika.saovololona98@gmail.com,,0327028450,18
23,Andriantsoa,Saranto,1997-02-01,Antananarivo,101245876152,Ambositra,opérateur sur machine à commande numérique,andriantsoa.saranto567@gmail.com,,0347827601,29
24,Andriarisoa,Sariaka,1951-07-20,Nosy Be,101245876153,Farafangana,ingénieur concepteur conceptrice en mécanique,andriarisoa.sariaka372@gmail.com,,0337757549,46
25,Andriniaina,Sarika,1945-04-14,Fianarantsoa,101245876154,Antalaha,peintre en bâtiment,andriniaina.sarika866@gmail.com,,0344049649,1
26,Andry,Sarindra,1974-06-17,Farafangana,101245876155,Fianarantsoa,régisseur général générale cinéma,andry.sarindra742@gmail.com,,0329069330,43
27,Andy,Sarobidy,1983-10-11,Nosy Be,101245876156,Antsiranana,préparateur en pharmacie,andy.sarobidy803@gmail.com,,0345708672,25
28,Angola,Saroy,1960-09-23,Fianarantsoa,101245876157,Ambositra,technicien qualité,angola.saroy994@gmail.com,,0327447200,16
29,Angy,Sata,1944-01-10,Morondava,101245876158,Antsirabe,animalier de laboratoire,angy.sata415@gmail.com,,0338509989,28
30,Anja,Sedera,1965-07-29,Antalaha,101245876159,Sambava,encadreur,anja.sedera539@gmail.com,,0329693941,24
31,Anjara,Sedra,1945-06-02,Sambava,101245876160,Antsiranana,contremaître,anjara.sedra279@gmail.com,,0323409041,14
32,Anjarafitia,Seheno,1948-04-21,Toamasina,101245876161,Mahajanga,ingénieur d'application,anjarafitia.seheno313@gmail.com,,0339117781,3
